id_banque,nom_banque,type,epargne_duree_taux_01,epargne_duree_taux_02,epargne_duree_taux_03,epargne_duree_taux_04,epargne_duree_taux_05,epargne_duree_taux_06,epargne_duree_taux_07,epargne_duree_taux_08,epargne_duree_taux_09,epargne_duree_taux_10
542,BANQUE EXTERIEURE D'ALGERIE - BEA,personnel,,,,,,,,,,
542,BANQUE EXTERIEURE D'ALGERIE - BEA,professionnel,,,,,,,,,,
542,BANQUE EXTERIEURE D'ALGERIE - BEA,entreprise,,,,,,,,,,
186,BANQUE NATIONALE D'ALGERIE - BNA,personnel,Moins de 500 000 DA Taux en vigeur,De 500 001 à 2 500 000 DA 3%,De 2 500 001 DA à 7 500 000 DA 3.25%,De 7 500 001 DA à 15 000 000 DA 3.5%,De 15 000 001 DA à 50 000 000 DA 3.75%,De 50 000 001 DA à 100 000 000 DA 4%,De 100 000 001 DA à 200 000 000 DA 4.25%,Plus de 200 000 000 DA 4.5%,,
186,BANQUE NATIONALE D'ALGERIE - BNA,professionnel,,,,,,,,,,
186,BANQUE NATIONALE D'ALGERIE - BNA,entreprise,,,,,,,,,,
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,,,,,,,,,,
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,,,,,,,
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,,,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,,,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,,,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,,,,,,,,,,
469,CREDIT POPULAIRE D'ALGERIE - CPA,personnel,,,,,,,,,,
469,CREDIT POPULAIRE D'ALGERIE - CPA,professionnel,,,,,,,,,,
469,CREDIT POPULAIRE D'ALGERIE - CPA,entreprise,,,,,,,,,,
2370,CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,personnel,,,,,,,,,,
2370,CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,professionnel,,,,,,,,,,
2370,CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,entreprise,,,,,,,,,,
8763,BANQUE AL BARAKA ALGERIE,personnel,,,,,,,,,,
8763,BANQUE AL BARAKA ALGERIE,professionnel,,,,,,,,,,
8763,BANQUE AL BARAKA ALGERIE,entreprise,,,,,,,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,personnel,,,,,,,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,,,,,,,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,,,,,,,,,,
353,NATIXIS BANQUE,personnel,,,,,,,,,,
353,NATIXIS BANQUE,professionnel,,,,,,,,,,
353,NATIXIS BANQUE,entreprise,,,,,,,,,,
876,SOCIETE GENERALE ALGERIE,personnel,,,,,,,,,,
876,SOCIETE GENERALE ALGERIE,professionnel,,,,,,,,,,
876,SOCIETE GENERALE ALGERIE,entreprise,,,,,,,,,,
693,CITYBANK N.A. ALGERIA,personnel,,,,,,,,,,
693,CITYBANK N.A. ALGERIA,professionnel,,,,,,,,,,
693,CITYBANK N.A. ALGERIA,entreprise,,,,,,,,,,
175,ARAB BANK PLC ALGERIA,personnel,"moins De 50 000,00 DZD - 0","De 50 000,00 DZD lusqu'à 500 000,00 DZD - 2%","De 500 001,00 DZD lusqu'à 2 000 000,00 DZD - 2.75%","De 2 000 001,00 DZD lusqu'à 10 000 000,00 DZD - 3%","supérieur à 10 000 000,00 DZD - 3.5%",,,,,
175,ARAB BANK PLC ALGERIA,professionnel,,,,,,,,,,
175,ARAB BANK PLC ALGERIA,entreprise,,,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,personnel,,,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,,,,,,,
2037,TRUST BANK ALGERIA,personnel,,,,,,,,,,
2037,TRUST BANK ALGERIA,professionnel,,,,,,,,,,
2037,TRUST BANK ALGERIA,entreprise,,,,,,,,,,
339345,GULF BANK ALGERIA,personnel,,,,,,,,,,
339345,GULF BANK ALGERIA,professionnel,,,,,,,,,,
339345,GULF BANK ALGERIA,entreprise,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,personnel,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,personnel,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,professionnel,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,entreprise,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,personnel,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,professionnel,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,entreprise,,,,,,,,,,
205,AL SALAM BANK - ALGERIA - SPA,personnel,,,,,,,,,,
205,AL SALAM BANK - ALGERIA - SPA,professionnel,,,,,,,,,,
205,AL SALAM BANK - ALGERIA - SPA,entreprise,,,,,,,,,,
983,H.S.B.C. ALGERIE (succursale de banque),personnel,,,,,,,,,,
983,H.S.B.C. ALGERIE (succursale de banque),professionnel,,,,,,,,,,
983,H.S.B.C. ALGERIE (succursale de banque),entreprise,,,,,,,,,,
